n,seconds
636,0.0145195610
637,0.0130757910
638,0.0132729760
639,0.0130972690
640,0.0143908470
641,0.0132918560
642,0.0148171570
643,0.0139946810
644,0.0149180880
645,0.0132550610
646,0.0135513040
647,0.0135089000
648,0.0221331290
649,0.0140601350
650,0.0139190690
651,0.0139040180
652,0.0148488940
653,0.0136453580
654,0.0162877880
655,0.0157953950
656,0.0146533280
657,0.0150492540
658,0.0137486790
659,0.0157273440
660,0.0142869710
661,0.0143385950
662,0.0142197070
663,0.0156327230
664,0.0141392850
665,0.0144016230
666,0.0155703280
667,0.0148762980
668,0.0156609780
669,0.0144536810
670,0.0158632300
671,0.0147134570
672,0.0192063360
673,0.0178294270
674,0.0152595150
675,0.0156406740
676,0.0149443660
677,0.0220701430
678,0.0162231030
679,0.0155401030
680,0.0165746750
681,0.0149816840
682,0.0154037070
683,0.0186795220
684,0.0156383250
685,0.0152336010
686,0.0157867720
687,0.0155835160
688,0.0154490770
689,0.0180679830
690,0.0161870090
691,0.0158500570
692,0.0171458490
693,0.0157505280
694,0.0156188510
695,0.0158026960
696,0.0169101270
697,0.0167840820
698,0.0185760970
699,0.0159641340
700,0.0162342810
701,0.0195429590
702,0.0176148440
703,0.0171967430
704,0.0201622430
705,0.0171259110
706,0.0160479370
707,0.0309074830
708,0.0197144010
709,0.0182779190
710,0.0187534480
711,0.0181084530
712,0.0175936330
713,0.0181092850
714,0.0192001830
715,0.0178092470
716,0.0183398820
717,0.0168999780
718,0.0164168850
719,0.0180210640
720,0.0169477480
721,0.0195323770
722,0.0192908940
723,0.0444948300
724,0.0569976590
725,0.0222192060
726,0.0302914510
727,0.0272351200
728,0.0253122610
729,0.0237595680
730,0.0221388200
731,0.0223367090
732,0.0223918300
733,0.0223762260
734,0.0195934440
735,0.0192565570
736,0.0186199530
737,0.0200477690
738,0.0188170510
739,0.0202748180
740,0.0209530900
741,0.0178279560
742,0.0177631090
743,0.0193946020
744,0.0178019860
745,0.0187061860
746,0.0200687770
747,0.0179961160
748,0.0183740050
749,0.0194412730
750,0.0181785080
751,0.0183280800
752,0.0199856250
753,0.0212925850
754,0.0196874540
755,0.0207207320
756,0.0185609970
757,0.0186846650
758,0.0207489420
759,0.0189559840
760,0.0184135360
761,0.0266063260
762,0.0192115560
763,0.0190484820
764,0.0216011680
765,0.0194147940
766,0.0191968760
767,0.0233589830
768,0.0197469480
769,0.0193270440
770,0.0203704530
771,0.0197404270
772,0.0210446800
773,0.0232785550
774,0.0204179920
775,0.0194844440
776,0.0228185280
777,0.0197299370
778,0.0216055440
779,0.0213390380
780,0.0195760730
781,0.0213602490
782,0.0207016090
783,0.0204013450
784,0.0211605920
785,0.0199095340
786,0.0198782870
787,0.0221433120
788,0.0199091020
789,0.0202697710
790,0.0216366140
791,0.0215606880
792,0.0207724290
793,0.0221006910
794,0.0226461490
795,0.0210923480
796,0.0222251900
797,0.0207541780
798,0.0204278530
799,0.0219944100
800,0.0205593290
801,0.0220913350
802,0.0224910990
803,0.0213556940
804,0.0206915780
805,0.0223141680
806,0.0226118050
807,0.0208600880
808,0.0228586460
809,0.0227609210
810,0.0216269550
811,0.0236670400
812,0.0214708380
813,0.0219798820
814,0.0229967290
815,0.0217111830
816,0.0217414500
817,0.0229099660
818,0.0323255990
819,0.0294868790
820,0.0227054850
821,0.0229778040
822,0.0233085000
823,0.0233851290
824,0.0224432960
825,0.0259050030
826,0.0253252400
827,0.0256254750
828,0.0238268860
829,0.0248022830
830,0.0291252950
831,0.0305619690
832,0.0226301130
833,0.0234371620
834,0.0258909850
835,0.0225835060
836,0.0228709170
837,0.0237929860
838,0.0225864310
839,0.0225071060
840,0.0247371980
841,0.0224365560
842,0.0283800180
843,0.0276049680
844,0.0300388580
845,0.0239831910
846,0.0301816850
847,0.0240763790
848,0.0233518890
849,0.0259856150
850,0.0287246100
851,0.0236726050
852,0.0232444540
853,0.0237943640
854,0.0231371490
855,0.0248629070
856,0.0237550900
857,0.0263087350
858,0.0237085840
859,0.0237028590
860,0.0239030930
861,0.0253690280
862,0.0247088780
863,0.0239668200
864,0.0239756410
865,0.0305668010
866,0.0247391220
867,0.0256754100
868,0.0244757630
869,0.0286266030
870,0.0254094760
871,0.0273135150
872,0.0260772420
873,0.0270991270
874,0.0247380490
875,0.0292832630
876,0.0251723250
877,0.0250495430
878,0.0304010590
879,0.0342369300
880,0.0256398560
881,0.0264703640
882,0.0251721740
883,0.0269938330
884,0.0249554380
885,0.0358227250
886,0.0284008570
887,0.0277958640
888,0.0255085930
889,0.0278193700
890,0.0278472670
891,0.0277675350
892,0.0266508580
893,0.0347176440
894,0.0255101840
895,0.0285556590
896,0.0261656560
897,0.0281486320
898,0.0743768970
899,0.0773054920
900,0.0952617140
901,0.0655575390
902,0.0641545400
903,0.0611244230
904,0.0526441830
905,0.0651921700
906,0.0544945380
907,0.0584453140
908,0.0701215930
909,0.0627683670
910,0.0559379170
911,0.0552304060
912,0.0552624160
913,0.0608065350
914,0.0509403480
915,0.0537717980
916,0.0724587030
917,0.0588711590
918,0.0755681170
919,0.0672348610
920,0.0557703760
921,0.0637569940
922,0.0652470130
923,0.0592574150
924,0.0605095520
925,0.0577090880
926,0.0563683440
927,0.0646671400
928,0.0653322000
929,0.0604241330
930,0.0648070340
931,0.0707314220
932,0.0738513990
933,0.0618117460
934,0.0674267840
935,0.0683011580
936,0.0697152340
937,0.0635413440
938,0.0637757700
939,0.0632765330
940,0.0591572010
941,0.0813886330
942,0.0811765190
943,0.0553082810
944,0.0780369770
945,0.0759914660
946,0.0740453360
947,0.0621424780
948,0.0696131450
949,0.0828649470
950,0.0808192560
951,0.0851263280
952,0.0910418860
953,0.0580842600
954,0.0406978070
955,0.0524484970
956,0.0323172760
957,0.0331853960
958,0.0304677530
959,0.0322177030
960,0.0305974430
961,0.0480381440
962,0.0327789960
963,0.0417243670
964,0.0877513070
965,0.0971293450
966,0.0976530640
967,0.0865976510
968,0.0753069550
969,0.0910237920
970,0.0863634800
971,0.0370628340
972,0.0357166710
973,0.0377106960
974,0.0613118850
975,0.0331899330
976,0.0349302890
977,0.0888376730
978,0.1088410190
979,0.1106108600
980,0.0756146290
981,0.0824800240
982,0.0986533570
983,0.0954109710
984,0.0643491780
985,0.0828227360
986,0.0606000530
987,0.0350854600
988,0.0353736040
989,0.0332578850
990,0.0355100690
991,0.0358999380
992,0.0346687290
993,0.0550135310
994,0.0344958090
995,0.0357420940
996,0.0347933630
997,0.0355568700
998,0.0363637290
999,0.0357015770
1000,0.0360037150
1001,0.0365995880
1002,0.0463156040
1003,0.0719296350
1004,0.0992882450
1005,0.0918683210
1006,0.0651809000
1007,0.0363651840
1008,0.0369897320
1009,0.0350627710
1010,0.0380786300
1011,0.0367200390
1012,0.0616140770
1013,0.1115026200
1014,0.1032046860
1015,0.0975580560
1016,0.0895409970
1017,0.1019552260
1018,0.0813048780
1019,0.0857596500
1020,0.0923928410
1021,0.0864352100
1022,0.0921205270
1023,0.0858485190
1024,0.0917432130
1025,0.0835004250
1026,0.0855128200
1027,0.0605003150
1028,0.0345599010
1029,0.0361591680
1030,0.0353145500
1031,0.0363155310
1032,0.0338490000
1033,0.0372521300
1034,0.0346038550
1035,0.0367324320
1036,0.0616721950
1037,0.1120450830
1038,0.1007703990
1039,0.0876022390
1040,0.0888269600
1041,0.0980043780
1042,0.1081415270
1043,0.0857208860
1044,0.0686603890
1045,0.0467227260
1046,0.0389755140
1047,0.0656163090
1048,0.0371204080
1049,0.0382232400
1050,0.0377019600
1051,0.0376378310
1052,0.0354382840
1053,0.0370236010
1054,0.0361381870
1055,0.0372648080
1056,0.0501165150
1057,0.0364538120
1058,0.0374210900
1059,0.0381987700
1060,0.0371850370
1061,0.0363044230
1062,0.0373877900
1063,0.0373501990
1064,0.0375942620
1065,0.0363982860
1066,0.0377344060
1067,0.0372713840
1068,0.0789224440
1069,0.1207650810
1070,0.1172813930
1071,0.1018842720
1072,0.1142988150
1073,0.1153052030
1074,0.1189433710
1075,0.1270708850
1076,0.1064845150
1077,0.1029575440
1078,0.1160954260
1079,0.1071797750
1080,0.1233386480
1081,0.1101681210
1082,0.0687724190
1083,0.0450605340
1084,0.0417495380
1085,0.0817188730
1086,0.0571858590
1087,0.0558474050
1088,0.0595768200
1089,0.0549907790
1090,0.0672474450
1091,0.0629779050
1092,0.0539107570
1093,0.0560195500
1094,0.0521295840
1095,0.0427531330
1096,0.0433389520
1097,0.0434486190
1098,0.0462686950
1099,0.0448435170
1100,0.0434024860
1101,0.0408615730
1102,0.0420709580
1103,0.0410764700
1104,0.0427937410
1105,0.0554982770
1106,0.0567452340
1107,0.0562378690
1108,0.0559646730
1109,0.0489299370
1110,0.0432941520
1111,0.0444923130
1112,0.0432458790
1113,0.0483762100
1114,0.0546083110
1115,0.0551556750
1116,0.0534409670
1117,0.0966677160
1118,0.0854695130
1119,0.0628137690
1120,0.0609534630
1121,0.0690592070
1122,0.0683901550
1123,0.0625080990
1124,0.0842047140
1125,0.0664372370
1126,0.0619587420
1127,0.0616857080
1128,0.0590603080
1129,0.0911931940
1130,0.0827379250
1131,0.0748669320
1132,0.0567696820
1133,0.0596406120
1134,0.0437292350
1135,0.0584254720
1136,0.0647380440
1137,0.0964885770
1138,0.0613277840
1139,0.0543924510
1140,0.0449790620
1141,0.0460487070
1142,0.0442654360
1143,0.0449395280
1144,0.0446574520
1145,0.0462361710
1146,0.0451355920
1147,0.0505173750
1148,0.1376968290
1149,0.1323387980
1150,0.1287799390
1151,0.1244203740
1152,0.1376169070
1153,0.1089861280
1154,0.0773725720
1155,0.0488186980
1156,0.0460243030
1157,0.0763214170
1158,0.0478839410
1159,0.0463946460
1160,0.0459541690
1161,0.0479144500
1162,0.0464859270
1163,0.0495076960
1164,0.0508610510
1165,0.0469127680
1166,0.0498123810
1167,0.0468692880
1168,0.0475288890
1169,0.0456130320
1170,0.0469218200
1171,0.0466065820
1172,0.0480137060
1173,0.0461050610
1174,0.0466618310
1175,0.0454316010
1176,0.0469134680
1177,0.0463814550
1178,0.0468379540
1179,0.0469375370
1180,0.0459853230
1181,0.0445439840
1182,0.0460670710
1183,0.0446303660
1184,0.0470061810
1185,0.0471399510
1186,0.0480623690
1187,0.0486011150
1188,0.0466536740
1189,0.0463971610
1190,0.0464460220
1191,0.0458712110
1192,0.0460623890
1193,0.0473706110
1194,0.0464231140
1195,0.0472175400
1196,0.0483579710
1197,0.0476621430
1198,0.0502160160
1199,0.0490928860
1200,0.0460412680
1201,0.0481953630
1202,0.0471728700
1203,0.0481100110
1204,0.0507783650
1205,0.0483850370
1206,0.0498993980
1207,0.0475046960
1208,0.0521047460
1209,0.0472571290
1210,0.0488163260
1211,0.0471468100
1212,0.0506177950
1213,0.0473031160
1214,0.0486766910
1215,0.0475873300
1216,0.0507497940
1217,0.0481545290
1218,0.0501554860
1219,0.0482661180
1220,0.0488051820
1221,0.0507980590
1222,0.0502568980
1223,0.0495833140
1224,0.0477406620
1225,0.0500023380
1226,0.0504948460
1227,0.0517386600
1228,0.0485437550
1229,0.0484836030
1230,0.0521534480
1231,0.0494276860
1232,0.0512577150
1233,0.0483751700
1234,0.0508190490
1235,0.0520553520
1236,0.0530335560
1237,0.0577229130
1238,0.0550671070
1239,0.0512021080
1240,0.0508991560
1241,0.0499362510
1242,0.0512485420
1243,0.0511716400
1244,0.0526593930
1245,0.0833959600
1246,0.0517831560
1247,0.0579273390
1248,0.0513208210
1249,0.0495583790
1250,0.0546956220
1251,0.0517695080
1252,0.0527741120
1253,0.0536587180
1254,0.0500921830
1255,0.0529504430
1256,0.0531377810
1257,0.0523595710
1258,0.0537710900
1259,0.0517277150
1260,0.0538985770
1261,0.0541651570
1262,0.0534556890
1263,0.0527556520
1264,0.0547350240
1265,0.0535742470
1266,0.0526234650
1267,0.0523993460
1268,0.0547782920
1269,0.0543572800
1270,0.0528888000
1271,0.0547864460
1272,0.0540576500
1273,0.0546153700
1274,0.0527471160
1275,0.0539823740
1276,0.0541276670
1277,0.0534015730
1278,0.0537439160
1279,0.0549132840
1280,0.0551598730
1281,0.0567859740
1282,0.0545787670
1283,0.0544419050
1284,0.0538219880
1285,0.0545537110
1286,0.1244353990
1287,0.1974223860
1288,0.1348068330
1289,0.0901603760
1290,0.0807076850
1291,0.0832450590
1292,0.0694240360
1293,0.0769966250
1294,0.0780480870
1295,0.0745904430
1296,0.0786559430
1297,0.0657518760
1298,0.0571033770
1299,0.0605015400
1300,0.0588302390
1301,0.0579655910
1302,0.0587827540
1303,0.0587060650
1304,0.0572299590
1305,0.0588108840
1306,0.0616700410
1307,0.0581837240
1308,0.0567455020
1309,0.0577736830
1310,0.0567117930
1311,0.0589138410
1312,0.0595255600
1313,0.0577042470
1314,0.0574062180
1315,0.0600139080
1316,0.0577254360
1317,0.0599793250
1318,0.0672092170
1319,0.0655885990
1320,0.0742792020
1321,0.1342324040
1322,0.0895435570
1323,0.1017423030
1324,0.0816628490
1325,0.0699831920
1326,0.0643390860
1327,0.0627663570
1328,0.0594009360
1329,0.0609938080
1330,0.0643416280
1331,0.0699207780
1332,0.0783525570
1333,0.1751273350
1334,0.2029017200
1335,0.2011754140
1336,0.1427833700
1337,0.3009475410
1338,0.1881975450
1339,0.1255403350
1340,0.0980403900
1341,0.1084706760
1342,0.1308143700
1343,0.1492202190
1344,0.1306304590
1345,0.1535519250
1346,0.1094232940
1347,0.1092009570
1348,0.1205140310
1349,0.0835902000
1350,0.0969968330
1351,0.0838350520
1352,0.0891306200
1353,0.0812999530
1354,0.0817056160
1355,0.0844971710
1356,0.0856025270
1357,0.1012089500
1358,0.0868301690
1359,0.0859984110
1360,0.0837168390
1361,0.0828782920
1362,0.0769731750
1363,0.0727545950
1364,0.0712473240
1365,0.0732081400
1366,0.0765014260
1367,0.0756595870
1368,0.0693751680
1369,0.0750038450
1370,0.0791009800
1371,0.0686434240
1372,0.0687054240
1373,0.0720119100
1374,0.0777712940
1375,0.0899522080
1376,0.0958501730
1377,0.1154094310
1378,0.1020505600
1379,0.1022867170
1380,0.1080355990
1381,0.1035183990
1382,0.1300692530
1383,0.1018283590
1384,0.1017723800
1385,0.0722918140
1386,0.0680778520
1387,0.0697777930
1388,0.0856373510
1389,0.0757476440
1390,0.0683018530
1391,0.0693608980
1392,0.0702859530
1393,0.0695470250
1394,0.0691850110
1395,0.0768657070
1396,0.0724145830
1397,0.0717243680
1398,0.0725748300
1399,0.0686699090
1400,0.0694101440
1401,0.0701183950
1402,0.0706512670
1403,0.0708740240
1404,0.0699789210
1405,0.0693959590
1406,0.0684724760
1407,0.0677602680
1408,0.0667894060
1409,0.0947908060
1410,0.0844366320
1411,0.0933788040
1412,0.0935949700
1413,0.1034043870
1414,0.0739497690
1415,0.0726247660
1416,0.0695115680
1417,0.0674640770
1418,0.0677568250
1419,0.0684680210
1420,0.0825825020
1421,0.0728783190
1422,0.0872693560
1423,0.0935722140
1424,0.1192606450
1425,0.0835551350
1426,0.0777418230
1427,0.0831915120
1428,0.0838962480
1429,0.0811413960
1430,0.0726166050
1431,0.0719311840
1432,0.0801929930
1433,0.0778562380
1434,0.0714805050
1435,0.0739645860
1436,0.0705253290
1437,0.0717521880
1438,0.0779719650
1439,0.0873885830
1440,0.1272447830
1441,0.1165662630
1442,0.0967956800
1443,0.0737126820
1444,0.0720798510
1445,0.0731557580
1446,0.0787619880
1447,0.0977870850
1448,0.0945164150
1449,0.0929369980
1450,0.0995382720
1451,0.0801791350
1452,0.0901956970
1453,0.1122593650
1454,0.0793061580
1455,0.0748565190
1456,0.0828293780
1457,0.1048639190
1458,0.0998111680
1459,0.0882887360
1460,0.0844753440
1461,0.0960110430
1462,0.2386124340
1463,0.1241465270
1464,0.1440888430
1465,0.1018110810
1466,0.1125581030
1467,0.1243209050
1468,0.1101477150
1469,0.0943628320
1470,0.1311587990
1471,0.1551542860
1472,0.4432372360
1473,0.1238379200
1474,0.1235720390
1475,0.1367362690
1476,0.1226100770
1477,0.1246831930
1478,0.1228775950
1479,0.1288812100
1480,0.1217788600
1481,0.1274537280
1482,0.1329293230
1483,0.1270743580
1484,0.1237859490
1485,0.1276600680
1486,0.1045731390
1487,0.1140196660
1488,0.1087083900
1489,0.0984363720
1490,0.1013589190
1491,0.0936414920
1492,0.0909619780
